## MB CDI: WGs

# Note: no stress, alternates (/) on separate lines, phrases on same line, shh removed

Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS16      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B15       	B sum     	B avg     	ND        	Neighbors 
an        	2         	0.101366  	0.034769  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.136135  	0.068067  	0.011869  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.011869  	0.011869  	12        	a tan san pan aT au aun un ai ane en ana 
ai        	2         	0.101366  	0.097923  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.199289  	0.099644  	0.003747  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.003747  	0.003747  	18        	a i xi wi ti asi si an ni mi aki kai Ci aT aLi au oi ei 
bee       	3         	0.079747  	0.148072  	0.07349   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.30131   	0.100437  	0.01595   	0.000517  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.016467  	0.008234  	6         	be be be4 beT bebe bea 
mee       	3         	0.084687  	0.148072  	0.07349   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.306249  	0.102083  	0.013667  	0.000517  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.014185  	0.007092  	2         	me me 
kwakwa    	6         	0.135646  	0.036638  	0.072185  	0.02958   	0.003624  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.504115  	0.084019  	0.010364  	0.014515  	0.002942  	0.00101   	0.000498  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.029329  	0.005866  	0         	
gwagwa    	6         	0.02703   	0.036638  	0.072185  	0.018881  	0.003624  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.384799  	0.064133  	0.00498   	0.014515  	0.001893  	0.001171  	0.000498  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.023057  	0.004611  	0         	
mjau      	4         	0.084687  	0.023754  	0.072185  	0.023271  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.203896  	0.050974  	0.003264  	0.003145  	0.002215  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.008625  	0.002875  	1         	mja4 
muu       	3         	0.084687  	0.060123  	0.013386  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.158196  	0.052732  	0.005209  	0         	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.005209  	0.002605  	0         	
piopio    	6         	0.112732  	0.097923  	0.028331  	0.027504  	0.057341  	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.467503  	0.077917  	0.017266  	0.002487  	0.000861  	0.002442  	0         	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.023056  	0.004611  	0         	
pipi      	4         	0.112732  	0.097923  	0.030267  	0.09605   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.336972  	0.084243  	0.017266  	0.001143  	0.008096  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.026506  	0.008835  	4         	pili pepi pipa papi 
pun       	3         	0.112732  	0.060123  	0.090652  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.263507  	0.087836  	0.005782  	0.007224  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.013006  	0.006503  	5         	un Tun pin pan aun 
kiki4iki  	8         	0.135646  	0.097923  	0.053823  	0.09605   	0.160437  	0.067555  	0.014409  	0.042724  	--        	--        	--        	--        	--        	--        	--        	--        	0.668568  	0.083571  	0.004447  	0.009371  	0.006477  	0.012155  	0.010481  	0.01155   	0.001606  	--        	--        	--        	--        	--        	--        	--        	--        	0.056086  	0.008012  	0         	
tutu      	4         	0.064761  	0.060123  	0.051006  	0.023271  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.199161  	0.04979   	0.004155  	0.001859  	0.002239  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.008253  	0.002751  	1         	kutu 
abexa     	5         	0.101366  	0.014938  	0.07349   	0.010096  	0.172201  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.37209   	0.074418  	0.012321  	0.00323   	0.004215  	0.003734  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.023499  	0.005875  	1         	obexa 
animal    	6         	0.101366  	0.034769  	0.035894  	0.020178  	0.172201  	0.037877  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.402285  	0.067047  	0.011869  	0.001256  	0.003964  	0.007201  	0.012151  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.036441  	0.007288  	0         	
a4aJa     	5         	0.101366  	0.052715  	0.072185  	0.001946  	0.172201  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.400413  	0.080083  	0.005532  	0.013674  	0.000618  	0.001111  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.020935  	0.005234  	1         	a4aJa4 
a4diLa    	6         	0.101366  	0.052715  	0.028468  	0.09605   	0.012933  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.517973  	0.086329  	0.005532  	0.00204   	0.003392  	0.005096  	0.007572  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.023632  	0.004726  	0         	
borego    	6         	0.079747  	0.157271  	0.015595  	0.119055  	0.00969   	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.525031  	0.087505  	0.0154    	0.00465   	0.00349   	0.001651  	0.002064  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.027255  	0.005451  	0         	
buo       	3         	0.079747  	0.060123  	0.028331  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.168201  	0.056067  	0.003898  	0         	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.003898  	0.001949  	2         	buro bjo 
buro      	4         	0.079747  	0.060123  	0.015595  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.278033  	0.069508  	0.003898  	0.001364  	0.00493   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.010193  	0.003398  	2         	Curo baro 
kabaLo    	6         	0.135646  	0.24001   	0.048595  	0.189762  	0.012933  	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.770618  	0.128436  	0.056733  	0.017944  	0.010351  	0.005496  	0.005917  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.096441  	0.019288  	0         	
kab4a     	5         	0.135646  	0.24001   	0.048595  	0.05643   	0.172201  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.652883  	0.130577  	0.056733  	0.017944  	0.006409  	0.008125  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.089212  	0.022303  	2         	ka4a ab4a 
konexo    	6         	0.135646  	0.157271  	0.090652  	0.119055  	0.01308   	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.659376  	0.109896  	0.042469  	0.023876  	0.007093  	0.002949  	0.004177  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.080563  	0.016113  	0         	
elefante  	8         	0.055104  	0.02996   	0.07349   	0.002698  	0.172201  	0.069389  	0.094728  	0.053499  	--        	--        	--        	--        	--        	--        	--        	--        	0.551069  	0.068884  	0.003214  	0.00628   	0.00043   	0.000876  	0.017919  	0.023439  	0.034105  	--        	--        	--        	--        	--        	--        	--        	--        	0.086264  	0.012323  	0         	
gaLina    	6         	0.02703   	0.24001   	0.019693  	0.09605   	0.076529  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.685754  	0.114292  	0.00746   	0.009796  	0.001155  	0.016484  	0.020422  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.055317  	0.011063  	0         	
gato      	4         	0.02703   	0.24001   	0.051006  	0.122568  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.440614  	0.110154  	0.00746   	0.015358  	0.01097   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.033788  	0.011263  	3         	rato pato nato 
gwaxolote 	9         	0.02703   	0.036638  	0.072185  	0.010096  	0.086982  	0.037877  	0.15296   	0.057578  	0.063263  	--        	--        	--        	--        	--        	--        	--        	0.54461   	0.060512  	0.00498   	0.014515  	0.002308  	0.001991  	0.00416   	0.010618  	0         	0.031057  	--        	--        	--        	--        	--        	--        	--        	0.06963   	0.008704  	0         	
ipopotamo 	9         	0.016364  	0.006226  	0.028331  	0.027504  	0.086982  	0.052412  	0.185051  	0.001606  	0.208921  	--        	--        	--        	--        	--        	--        	--        	0.613397  	0.068155  	0         	0.000583  	0.000861  	0.004478  	0.000648  	0.035524  	0.001606  	0         	--        	--        	--        	--        	--        	--        	--        	0.043699  	0.005462  	0         	
o4miga    	6         	0.0235    	0.052715  	0.048747  	0.09605   	0.00969   	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.457144  	0.076191  	0.004822  	0.002226  	0.006982  	0.003014  	0.008337  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.025381  	0.005076  	0         	
xi4afa    	6         	0.024177  	0.097923  	0.117979  	0.189762  	0.001987  	0.226442  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.658271  	0.109712  	0.0018    	0.011273  	0.020941  	0         	0.001644  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.035658  	0.007132  	0         	
